@Start of Program
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
~~~~~~~~~~~~~~~~~ Marvellous Automation ~~~~~~~~~~~~~~~~~~
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ 


**********************************************************
Information of Currently Running Process : 
**********************************************************
{'name': 'System Idle Process', 'username': 'NT AUTHORITY\\SYSTEM', 'pid': 0, 'vms': 0.05859375}
{'name': 'System', 'username': 'NT AUTHORITY\\SYSTEM', 'pid': 4, 'vms': 0.09765625}
{'name': '', 'username': None, 'pid': 172, 'vms': 0.18359375}
{'name': 'Registry', 'username': None, 'pid': 208, 'vms': 13.546875}
{'name': 'RuntimeBroker.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 812, 'vms': 12.046875}
{'name': 'smss.exe', 'username': None, 'pid': 984, 'vms': 1.12109375}
{'name': 'nxtbsm.exe', 'username': None, 'pid': 1144, 'vms': 4.3671875}
{'name': 'svchost.exe', 'username': None, 'pid': 1200, 'vms': 14.51171875}
{'name': 'csrss.exe', 'username': None, 'pid': 1572, 'vms': 2.30859375}
{'name': 'fontdrvhost.exe', 'username': None, 'pid': 1576, 'vms': 1.7421875}
{'name': 'WUDFHost.exe', 'username': None, 'pid': 1716, 'vms': 1.4375}
{'name': 'wininit.exe', 'username': None, 'pid': 1832, 'vms': 1.44921875}
{'name': 'csrss.exe', 'username': None, 'pid': 1840, 'vms': 9.55859375}
{'name': 'fontdrvhost.exe', 'username': None, 'pid': 1844, 'vms': 6.87890625}
{'name': 'winlogon.exe', 'username': None, 'pid': 1928, 'vms': 2.82421875}
{'name': 'services.exe', 'username': None, 'pid': 1964, 'vms': 6.6484375}
{'name': 'LsaIso.exe', 'username': None, 'pid': 1992, 'vms': 1.46875}
{'name': 'lsass.exe', 'username': None, 'pid': 2004, 'vms': 12.5546875}
{'name': 'msedgewebview2.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 2028, 'vms': 30.26953125}
{'name': 'svchost.exe', 'username': None, 'pid': 2108, 'vms': 9.83984375}
{'name': 'svchost.exe', 'username': None, 'pid': 2156, 'vms': 4.2734375}
{'name': 'WUDFCompanionHost.exe', 'username': None, 'pid': 2184, 'vms': 1.3671875}
{'name': 'svchost.exe', 'username': None, 'pid': 2276, 'vms': 1.1953125}
{'name': 'svchost.exe', 'username': None, 'pid': 2292, 'vms': 5.31640625}
{'name': 'svchost.exe', 'username': None, 'pid': 2300, 'vms': 3.015625}
{'name': 'svchost.exe', 'username': None, 'pid': 2316, 'vms': 8.25}
{'name': 'amdpmfservice.exe', 'username': None, 'pid': 2324, 'vms': 1.70703125}
{'name': 'svchost.exe', 'username': None, 'pid': 2364, 'vms': 2.04296875}
