@Start of Program
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
~~~~~~~~~~~~~~~~~ Marvellous Automation ~~~~~~~~~~~~~~~~~~
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ 


**********************************************************
Information of Currently Running Process : 
**********************************************************
{'pid': 0, 'name': 'System Idle Process'}
{'pid': 4, 'name': 'System'}
{'pid': 172, 'name': ''}
{'pid': 208, 'name': 'Registry'}
{'pid': 812, 'name': 'RuntimeBroker.exe'}
{'pid': 984, 'name': 'smss.exe'}
{'pid': 1144, 'name': 'nxtbsm.exe'}
{'pid': 1200, 'name': 'svchost.exe'}
{'pid': 1572, 'name': 'csrss.exe'}
{'pid': 1576, 'name': 'fontdrvhost.exe'}
{'pid': 1716, 'name': 'WUDFHost.exe'}
{'pid': 1832, 'name': 'wininit.exe'}
{'pid': 1840, 'name': 'csrss.exe'}
{'pid': 1844, 'name': 'fontdrvhost.exe'}
{'pid': 1928, 'name': 'winlogon.exe'}
{'pid': 1964, 'name': 'services.exe'}
{'pid': 1992, 'name': 'LsaIso.exe'}
{'pid': 2004, 'name': 'lsass.exe'}
{'pid': 2028, 'name': 'msedgewebview2.exe'}
{'pid': 2108, 'name': 'svchost.exe'}
{'pid': 2156, 'name': 'svchost.exe'}
{'pid': 2184, 'name': 'WUDFCompanionHost.exe'}
{'pid': 2276, 'name': 'svchost.exe'}
{'pid': 2292, 'name': 'svchost.exe'}
{'pid': 2300, 'name': 'svchost.exe'}
{'pid': 2316, 'name': 'svchost.exe'}
{'pid': 2324, 'name': 'amdpmfservice.exe'}
{'pid': 2364, 'name': 'svchost.exe'}
{'pid': 2372, 'name': 'svchost.exe'}
{'pid': 2400, 'name': 'svchost.exe'}
{'pid': 2440, 'name': 'msedgewebview2.exe'}
{'pid': 2452, 'name': 'msedgewebview2.exe'}
{'pid': 2608, 'name': 'svchost.exe'}
{'pid': 2640, 'name': 'svchost.exe'}
{'pid': 2652, 'name': 'svchost.exe'}
{'pid': 2708, 'name': 'svchost.exe'}
{'pid': 2820, 'name': 'svchost.exe'}
{'pid': 2876, 'name': 'Code.exe'}
{'pid': 2900, 'name': 'svchost.exe'}
{'pid': 2964, 'name': 'svchost.exe'}
{'pid': 2972, 'name': 'svchost.exe'}
{'pid': 3016, 'name': 'svchost.exe'}
{'pid': 3044, 'name': 'msedgewebview2.exe'}
{'pid': 3192, 'name': 'svchost.exe'}
{'pid': 3224, 'name': 'svchost.exe'}
{'pid': 3232, 'name': 'svchost.exe'}
{'pid': 3272, 'name': 'svchost.exe'}
{'pid': 3368, 'name': 'svchost.exe'}
{'pid': 3428, 'name': 'svchost.exe'}
{'pid': 3436, 'name': 'WUDFHost.exe'}
{'pid': 3548, 'name': 'dwm.exe'}
{'pid': 3592, 'name': 'WmiPrvSE.exe'}
{'pid': 3772, 'name': 'svchost.exe'}
{'pid': 3780, 'name': 'svchost.exe'}
{'pid': 3816, 'name': 'svchost.exe'}
{'pid': 3880, 'name': 'svchost.exe'}
{'pid': 3908, 'name': 'nxtcssu.exe'}
{'pid': 3916, 'name': 'nxtcoordinator.exe'}
{'pid': 3924, 'name': 'nxtsvc.exe'}
{'pid': 3980, 'name': 'svchost.exe'}
{'pid': 4020, 'name': 'svchost.exe'}
{'pid': 4044, 'name': 'ArelliaACSvc.exe'}
{'pid': 4092, 'name': 'Code.exe'}
{'pid': 4132, 'name': 'svchost.exe'}
{'pid': 4208, 'name': 'svchost.exe'}
{'pid': 4216, 'name': 'svchost.exe'}
{'pid': 4224, 'name': 'svchost.exe'}
