~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
~~~~~ Information of Currently running processess. ~~~~~
~~~~~~~~~~ Log Time: Sat Jun 28 01:58:09 2025~~~~~~~~~~~
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
1) {'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System Idle Process'}
2) {'pid': 4, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System'}
3) {'pid': 8, 'username': None, 'name': 'fontdrvhost.exe'}
4) {'pid': 172, 'username': None, 'name': ''}
5) {'pid': 208, 'username': None, 'name': 'Registry'}
6) {'pid': 816, 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe'}
7) {'pid': 984, 'username': None, 'name': 'smss.exe'}
8) {'pid': 1176, 'username': None, 'name': 'svchost.exe'}
9) {'pid': 1204, 'username': None, 'name': 'fontdrvhost.exe'}
10) {'pid': 1524, 'username': None, 'name': 'WUDFHost.exe'}
11) {'pid': 1548, 'username': None, 'name': 'csrss.exe'}
12) {'pid': 1812, 'username': None, 'name': 'wininit.exe'}
13) {'pid': 1832, 'username': None, 'name': 'csrss.exe'}
14) {'pid': 1836, 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'msedgewebview2.exe'}
15) {'pid': 1844, 'username': None, 'name': 'conhost.exe'}
16) {'pid': 1908, 'username': None, 'name': 'winlogon.exe'}
17) {'pid': 1928, 'username': None, 'name': 'services.exe'}
18) {'pid': 1960, 'username': None, 'name': 'LsaIso.exe'}
19) {'pid': 1984, 'username': None, 'name': 'lsass.exe'}
20) {'pid': 2052, 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'msedgewebview2.exe'}
21) {'pid': 2104, 'username': None, 'name': 'svchost.exe'}
22) {'pid': 2144, 'username': None, 'name': 'svchost.exe'}
23) {'pid': 2148, 'username': None, 'name': 'svchost.exe'}
24) {'pid': 2208, 'username': None, 'name': 'WUDFCompanionHost.exe'}
25) {'pid': 2228, 'username': None, 'name': 'GoToAssistLoggerProcess.exe'}
26) {'pid': 2260, 'username': None, 'name': 'svchost.exe'}
27) {'pid': 2268, 'username': None, 'name': 'svchost.exe'}
28) {'pid': 2284, 'username': None, 'name': 'svchost.exe'}
29) {'pid': 2316, 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'msedgewebview2.exe'}
30) {'pid': 2328, 'username': None, 'name': 'CSFalconContainer.exe'}
31) {'pid': 2340, 'username': None, 'name': 'conhost.exe'}
32) {'pid': 2436, 'username': None, 'name': 'amdpmfservice.exe'}
33) {'pid': 2444, 'username': None, 'name': 'svchost.exe'}
34) {'pid': 2452, 'username': None, 'name': 'svchost.exe'}
35) {'pid': 2460, 'username': None, 'name': 'svchost.exe'}
36) {'pid': 2472, 'username': None, 'name': 'svchost.exe'}
37) {'pid': 2508, 'username': None, 'name': 'nxtupdater.exe'}
38) {'pid': 2596, 'username': None, 'name': 'svchost.exe'}
39) {'pid': 2604, 'username': None, 'name': 'svchost.exe'}
40) {'pid': 2652, 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'AppVShNotify.exe'}
41) {'pid': 2728, 'username': None, 'name': 'svchost.exe'}
42) {'pid': 2736, 'username': None, 'name': 'svchost.exe'}
43) {'pid': 2768, 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe'}
44) {'pid': 2792, 'username': None, 'name': 'svchost.exe'}
45) {'pid': 2840, 'username': None, 'name': 'svchost.exe'}
46) {'pid': 2896, 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe'}
47) {'pid': 2900, 'username': None, 'name': 'svchost.exe'}
48) {'pid': 2920, 'username': None, 'name': 'svchost.exe'}
49) {'pid': 3076, 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'svchost.exe'}
50) {'pid': 3096, 'username': None, 'name': 'svchost.exe'}
51) {'pid': 3128, 'username': None, 'name': 'svchost.exe'}
52) {'pid': 3200, 'username': None, 'name': 'svchost.exe'}
53) {'pid': 3280, 'username': None, 'name': 'svchost.exe'}
54) {'pid': 3296, 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'pc-client.exe'}
55) {'pid': 3312, 'username': None, 'name': 'svchost.exe'}
56) {'pid': 3332, 'username': None, 'name': 'dwm.exe'}
57) {'pid': 3356, 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'AuthManSvr.exe'}
58) {'pid': 3404, 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'msedgewebview2.exe'}
59) {'pid': 3420, 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'msedgewebview2.exe'}
60) {'pid': 3480, 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe'}
61) {'pid': 3572, 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'CsSystemTray_7.25.19706.0.exe'}
62) {'pid': 3620, 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe'}
63) {'pid': 3660, 'username': None, 'name': 'svchost.exe'}
