~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
~~~~~ Information of Currently running processess. ~~~~~
~~~~~~~~~~ Log Time: Sat Jun 28 14:46:37 2025~~~~~~~~~~~
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
1{'username': 'NT AUTHORITY\\SYSTEM', 'pid': 0, 'name': 'System Idle Process'}
2{'username': 'NT AUTHORITY\\SYSTEM', 'pid': 4, 'name': 'System'}
3{'username': None, 'pid': 8, 'name': 'fontdrvhost.exe'}
4{'username': None, 'pid': 172, 'name': ''}
5{'username': None, 'pid': 208, 'name': 'Registry'}
6{'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 816, 'name': 'chrome.exe'}
7{'username': None, 'pid': 984, 'name': 'smss.exe'}
8{'username': None, 'pid': 1176, 'name': 'svchost.exe'}
9{'username': None, 'pid': 1204, 'name': 'fontdrvhost.exe'}
10{'username': None, 'pid': 1524, 'name': 'WUDFHost.exe'}
11{'username': None, 'pid': 1548, 'name': 'csrss.exe'}
12{'username': None, 'pid': 1812, 'name': 'wininit.exe'}
13{'username': None, 'pid': 1832, 'name': 'csrss.exe'}
14{'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 1836, 'name': 'msedgewebview2.exe'}
15{'username': None, 'pid': 1844, 'name': 'conhost.exe'}
16{'username': None, 'pid': 1908, 'name': 'winlogon.exe'}
17{'username': None, 'pid': 1928, 'name': 'services.exe'}
18{'username': None, 'pid': 1960, 'name': 'LsaIso.exe'}
19{'username': None, 'pid': 1984, 'name': 'lsass.exe'}
20{'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 2052, 'name': 'msedgewebview2.exe'}
21{'username': None, 'pid': 2104, 'name': 'svchost.exe'}
22{'username': None, 'pid': 2144, 'name': 'svchost.exe'}
23{'username': None, 'pid': 2148, 'name': 'svchost.exe'}
24{'username': None, 'pid': 2208, 'name': 'WUDFCompanionHost.exe'}
25{'username': None, 'pid': 2228, 'name': 'GoToAssistLoggerProcess.exe'}
26{'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 2248, 'name': 'chrome.exe'}
27{'username': None, 'pid': 2260, 'name': 'svchost.exe'}
28{'username': None, 'pid': 2268, 'name': 'svchost.exe'}
29{'username': None, 'pid': 2284, 'name': 'svchost.exe'}
30{'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 2316, 'name': 'msedgewebview2.exe'}
