~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
~~~~~ Information of Currently running processess. ~~~~~
~~~~~~~~~~ Log Time: Sat Jun 28 14:58:59 2025~~~~~~~~~~~
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
1{'name': 'System Idle Process', 'username': 'NT AUTHORITY\\SYSTEM', 'pid': 0, 'status': 'running'}
2{'name': 'System', 'username': 'NT AUTHORITY\\SYSTEM', 'pid': 4, 'status': 'running'}
3{'name': 'fontdrvhost.exe', 'username': None, 'pid': 8, 'status': 'running'}
4{'name': 'Registry', 'username': None, 'pid': 208, 'status': 'running'}
5{'name': 'chrome.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 816, 'status': 'running'}
6{'name': 'smss.exe', 'username': None, 'pid': 984, 'status': 'running'}
7{'name': 'svchost.exe', 'username': None, 'pid': 1176, 'status': 'running'}
8{'name': 'fontdrvhost.exe', 'username': None, 'pid': 1204, 'status': 'running'}
9{'name': 'WUDFHost.exe', 'username': None, 'pid': 1524, 'status': 'running'}
10{'name': 'csrss.exe', 'username': None, 'pid': 1548, 'status': 'running'}
11{'name': 'wininit.exe', 'username': None, 'pid': 1812, 'status': 'running'}
12{'name': 'csrss.exe', 'username': None, 'pid': 1832, 'status': 'running'}
13{'name': 'msedgewebview2.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 1836, 'status': 'running'}
14{'name': 'conhost.exe', 'username': None, 'pid': 1844, 'status': 'running'}
15{'name': 'winlogon.exe', 'username': None, 'pid': 1908, 'status': 'running'}
16{'name': 'services.exe', 'username': None, 'pid': 1928, 'status': 'running'}
17{'name': 'LsaIso.exe', 'username': None, 'pid': 1960, 'status': 'running'}
18{'name': 'lsass.exe', 'username': None, 'pid': 1984, 'status': 'running'}
19{'name': 'msedgewebview2.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 2052, 'status': 'running'}
20{'name': 'svchost.exe', 'username': None, 'pid': 2104, 'status': 'running'}
21{'name': 'svchost.exe', 'username': None, 'pid': 2144, 'status': 'running'}
22{'name': 'svchost.exe', 'username': None, 'pid': 2148, 'status': 'running'}
23{'name': 'WUDFCompanionHost.exe', 'username': None, 'pid': 2208, 'status': 'running'}
24{'name': 'GoToAssistLoggerProcess.exe', 'username': None, 'pid': 2228, 'status': 'running'}
25{'name': 'chrome.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 2248, 'status': 'running'}
26{'name': 'svchost.exe', 'username': None, 'pid': 2260, 'status': 'running'}
27{'name': 'svchost.exe', 'username': None, 'pid': 2268, 'status': 'running'}
28{'name': 'svchost.exe', 'username': None, 'pid': 2284, 'status': 'running'}
29{'name': 'msedgewebview2.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 2316, 'status': 'running'}
30{'name': 'CSFalconContainer.exe', 'username': None, 'pid': 2328, 'status': 'running'}
31{'name': 'conhost.exe', 'username': None, 'pid': 2340, 'status': 'running'}
32{'name': 'kvoop.exe', 'username': None, 'pid': 2364, 'status': 'running'}
33{'name': 'amdpmfservice.exe', 'username': None, 'pid': 2436, 'status': 'running'}
34{'name': 'svchost.exe', 'username': None, 'pid': 2444, 'status': 'running'}
35{'name': 'svchost.exe', 'username': None, 'pid': 2452, 'status': 'running'}
36{'name': 'svchost.exe', 'username': None, 'pid': 2460, 'status': 'running'}
37{'name': 'svchost.exe', 'username': None, 'pid': 2472, 'status': 'running'}
38{'name': 'nxtupdater.exe', 'username': None, 'pid': 2508, 'status': 'running'}
39{'name': 'svchost.exe', 'username': None, 'pid': 2596, 'status': 'running'}
40{'name': 'svchost.exe', 'username': None, 'pid': 2604, 'status': 'running'}
41{'name': 'AppVShNotify.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 2652, 'status': 'running'}
42{'name': 'svchost.exe', 'username': None, 'pid': 2728, 'status': 'running'}
43{'name': 'svchost.exe', 'username': None, 'pid': 2736, 'status': 'running'}
44{'name': 'chrome.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 2768, 'status': 'running'}
45{'name': 'svchost.exe', 'username': None, 'pid': 2792, 'status': 'running'}
46{'name': 'svchost.exe', 'username': None, 'pid': 2840, 'status': 'running'}
47{'name': 'chrome.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 2896, 'status': 'running'}
48{'name': 'svchost.exe', 'username': None, 'pid': 2900, 'status': 'running'}
49{'name': 'svchost.exe', 'username': None, 'pid': 2920, 'status': 'running'}
50{'name': 'svchost.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 3076, 'status': 'running'}
51{'name': 'svchost.exe', 'username': None, 'pid': 3096, 'status': 'running'}
52{'name': 'svchost.exe', 'username': None, 'pid': 3128, 'status': 'running'}
53{'name': 'svchost.exe', 'username': None, 'pid': 3200, 'status': 'running'}
54{'name': 'svchost.exe', 'username': None, 'pid': 3280, 'status': 'running'}
55{'name': 'pc-client.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 3296, 'status': 'running'}
56{'name': 'svchost.exe', 'username': None, 'pid': 3312, 'status': 'running'}
57{'name': 'dwm.exe', 'username': None, 'pid': 3332, 'status': 'running'}
58{'name': 'AuthManSvr.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 3356, 'status': 'running'}
59{'name': 'msedgewebview2.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 3404, 'status': 'running'}
60{'name': 'msedgewebview2.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 3420, 'status': 'running'}
61{'name': 'chrome.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 3480, 'status': 'running'}
62{'name': 'CsSystemTray_7.25.19706.0.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 3572, 'status': 'running'}
63{'name': 'chrome.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 3620, 'status': 'running'}
64{'name': 'svchost.exe', 'username': None, 'pid': 3660, 'status': 'running'}
65{'name': 'svchost.exe', 'username': None, 'pid': 3672, 'status': 'running'}
66{'name': 'chrome.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 3696, 'status': 'running'}
67{'name': 'svchost.exe', 'username': None, 'pid': 3708, 'status': 'running'}
68{'name': 'svchost.exe', 'username': None, 'pid': 3712, 'status': 'running'}
69{'name': 'nxtcssu.exe', 'username': None, 'pid': 3728, 'status': 'running'}
70{'name': 'nxtcoordinator.exe', 'username': None, 'pid': 3736, 'status': 'running'}
71{'name': 'nxtsvc.exe', 'username': None, 'pid': 3748, 'status': 'running'}
72{'name': 'svchost.exe', 'username': None, 'pid': 3864, 'status': 'running'}
73{'name': 'svchost.exe', 'username': None, 'pid': 3872, 'status': 'running'}
74{'name': 'ArelliaACSvc.exe', 'username': None, 'pid': 3948, 'status': 'running'}
75{'name': 'WUDFHost.exe', 'username': None, 'pid': 3956, 'status': 'running'}
76{'name': 'svchost.exe', 'username': None, 'pid': 3964, 'status': 'running'}
77{'name': 'svchost.exe', 'username': None, 'pid': 4160, 'status': 'running'}
78{'name': 'chrome.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 4200, 'status': 'running'}
79{'name': 'chrome.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 4212, 'status': 'running'}
80{'name': 'atiesrxx.exe', 'username': None, 'pid': 4224, 'status': 'running'}
81{'name': 'amdfendrsr.exe', 'username': None, 'pid': 4256, 'status': 'running'}
82{'name': 'svchost.exe', 'username': None, 'pid': 4292, 'status': 'running'}
83{'name': 'msedgewebview2.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 4316, 'status': 'running'}
84{'name': 'svchost.exe', 'username': None, 'pid': 4328, 'status': 'running'}
85{'name': 'svchost.exe', 'username': None, 'pid': 4348, 'status': 'running'}
86{'name': 'svchost.exe', 'username': None, 'pid': 4492, 'status': 'running'}
87{'name': 'WUDFHost.exe', 'username': None, 'pid': 4552, 'status': 'running'}
88{'name': 'chrome.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 4564, 'status': 'running'}
89{'name': 'svchost.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 4636, 'status': 'running'}
90{'name': 'svchost.exe', 'username': None, 'pid': 4712, 'status': 'running'}
91{'name': 'WmiPrvSE.exe', 'username': None, 'pid': 4844, 'status': 'running'}
92{'name': 'chrome.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 4892, 'status': 'running'}
93{'name': 'WUDFCompanionHost.exe', 'username': None, 'pid': 4916, 'status': 'running'}
94{'name': 'svchost.exe', 'username': None, 'pid': 5032, 'status': 'running'}
95{'name': 'WUDFHost.exe', 'username': None, 'pid': 5052, 'status': 'running'}
96{'name': 'chrome.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 5192, 'status': 'running'}
97{'name': 'svchost.exe', 'username': None, 'pid': 5272, 'status': 'running'}
98{'name': 'svchost.exe', 'username': None, 'pid': 5368, 'status': 'running'}
99{'name': 'svchost.exe', 'username': None, 'pid': 5392, 'status': 'running'}
100{'name': 'MemCompression', 'username': None, 'pid': 5544, 'status': 'running'}
101{'name': 'RuntimeBroker.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 5684, 'status': 'running'}
102{'name': 'SystemSettingsBroker.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 5760, 'status': 'running'}
103{'name': 'nxteufb.exe', 'username': None, 'pid': 5768, 'status': 'running'}
104{'name': 'svchost.exe', 'username': None, 'pid': 5784, 'status': 'running'}
105{'name': 'svchost.exe', 'username': None, 'pid': 5792, 'status': 'running'}
106{'name': 'chrome.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 5848, 'status': 'running'}
107{'name': 'NgcIso.exe', 'username': None, 'pid': 5868, 'status': 'running'}
108{'name': 'svchost.exe', 'username': None, 'pid': 6084, 'status': 'running'}
109{'name': 'EPDService.exe', 'username': None, 'pid': 6092, 'status': 'running'}
110{'name': 'svchost.exe', 'username': None, 'pid': 6100, 'status': 'running'}
111{'name': 'svchost.exe', 'username': None, 'pid': 6108, 'status': 'running'}
112{'name': 'atieclxx.exe', 'username': None, 'pid': 6116, 'status': 'running'}
113{'name': 'svchost.exe', 'username': None, 'pid': 6240, 'status': 'running'}
114{'name': 'svchost.exe', 'username': None, 'pid': 6352, 'status': 'running'}
115{'name': 'svchost.exe', 'username': None, 'pid': 6380, 'status': 'running'}
116{'name': 'msedgewebview2.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 6428, 'status': 'running'}
117{'name': 'dllhost.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 6432, 'status': 'running'}
118{'name': 'svchost.exe', 'username': None, 'pid': 6484, 'status': 'running'}
119{'name': 'svchost.exe', 'username': None, 'pid': 6560, 'status': 'running'}
120{'name': 'svchost.exe', 'username': None, 'pid': 6588, 'status': 'running'}
121{'name': 'msedgewebview2.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 6708, 'status': 'running'}
122{'name': 'svchost.exe', 'username': None, 'pid': 6772, 'status': 'running'}
123{'name': 'kvoop.exe', 'username': None, 'pid': 6880, 'status': 'running'}
124{'name': 'svchost.exe', 'username': None, 'pid': 6904, 'status': 'running'}
125{'name': 'svchost.exe', 'username': None, 'pid': 6932, 'status': 'running'}
126{'name': 'SecurityHealthSystray.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 6936, 'status': 'running'}
127{'name': 'msedgewebview2.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 6940, 'status': 'running'}
128{'name': 'Code.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 6948, 'status': 'running'}
129{'name': 'svchost.exe', 'username': None, 'pid': 7100, 'status': 'running'}
130{'name': 'AcroRd32.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 7120, 'status': 'running'}
131{'name': 'svchost.exe', 'username': None, 'pid': 7160, 'status': 'running'}
132{'name': 'svchost.exe', 'username': None, 'pid': 7180, 'status': 'running'}
133{'name': 'svchost.exe', 'username': None, 'pid': 7192, 'status': 'running'}
134{'name': 'svchost.exe', 'username': None, 'pid': 7240, 'status': 'running'}
135{'name': 'svchost.exe', 'username': None, 'pid': 7308, 'status': 'running'}
136{'name': 'ms-teams.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 7344, 'status': 'running'}
137{'name': 'chrome.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 7376, 'status': 'running'}
138{'name': 'svchost.exe', 'username': None, 'pid': 7416, 'status': 'running'}
139{'name': 'chrome.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 7480, 'status': 'running'}
140{'name': 'chrome.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 7648, 'status': 'running'}
141{'name': 'Arellia.Agent.Service.exe', 'username': None, 'pid': 7712, 'status': 'running'}
142{'name': '1E.Client.exe', 'username': None, 'pid': 7724, 'status': 'running'}
143{'name': 'svchost.exe', 'username': None, 'pid': 7748, 'status': 'running'}
144{'name': 'SmartStandby.exe', 'username': None, 'pid': 7760, 'status': 'running'}
145{'name': 'FusionAPI.exe', 'username': None, 'pid': 7772, 'status': 'running'}
146{'name': 'LITSSvc.exe', 'username': None, 'pid': 7780, 'status': 'running'}
147{'name': 'svchost.exe', 'username': None, 'pid': 7796, 'status': 'running'}
148{'name': 'ibmpmsvc.exe', 'username': None, 'pid': 7836, 'status': 'running'}
149{'name': 'CSFalconService.exe', 'username': None, 'pid': 7852, 'status': 'running'}
150{'name': 'LenovoVantageService.exe', 'username': None, 'pid': 7864, 'status': 'running'}
151{'name': 'DAX3API.exe', 'username': None, 'pid': 7872, 'status': 'running'}
152{'name': 'LenovoVisionService.exe', 'username': None, 'pid': 7896, 'status': 'running'}
153{'name': 'PanGPS.exe', 'username': None, 'pid': 7924, 'status': 'running'}
154{'name': 'MpDefenderCoreService.exe', 'username': None, 'pid': 7960, 'status': 'running'}
155{'name': 'RtkAudUService64.exe', 'username': None, 'pid': 7988, 'status': 'running'}
156{'name': 'svchost.exe', 'username': None, 'pid': 7996, 'status': 'running'}
157{'name': 'snowagent.exe', 'username': None, 'pid': 8008, 'status': 'running'}
158{'name': 'UpdaterService.exe', 'username': None, 'pid': 8016, 'status': 'running'}
159{'name': 'msedgewebview2.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 8032, 'status': 'running'}
160{'name': 'UDClientService.exe', 'username': None, 'pid': 8044, 'status': 'running'}
161{'name': 'MsSense.exe', 'username': None, 'pid': 8072, 'status': 'running'}
162{'name': 'GoodixSessionService.exe', 'username': None, 'pid': 8092, 'status': 'running'}
163{'name': 'svchost.exe', 'username': None, 'pid': 8124, 'status': 'running'}
164{'name': 'GoToAssistProcessChecker.exe', 'username': None, 'pid': 8156, 'status': 'running'}
165{'name': 'fppsvc.exe', 'username': None, 'pid': 8168, 'status': 'running'}
166{'name': 'sqlwriter.exe', 'username': None, 'pid': 8176, 'status': 'running'}
167{'name': 'MsMpEng.exe', 'username': None, 'pid': 8240, 'status': 'running'}
168{'name': 'GoToAssistCrashHandler.exe', 'username': None, 'pid': 8300, 'status': 'running'}
169{'name': 'RuntimeBroker.exe', 'username': 'QAMR-ACCOUNTS\\u1203282', 'pid': 8400, 'status': 'running'}
