~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
~~~~~ Information of Currently running processess. ~~~~~
~~~~~~~~~~ Log Time: Sat Jun 28 15:01:06 2025~~~~~~~~~~~
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
1{'status': 'running', 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System Idle Process', 'pid': 0}
2{'status': 'running', 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System', 'pid': 4}
3{'status': 'running', 'username': None, 'name': 'fontdrvhost.exe', 'pid': 8}
4{'status': 'running', 'username': None, 'name': 'Registry', 'pid': 208}
5{'status': 'running', 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 816}
6{'status': 'running', 'username': None, 'name': 'smss.exe', 'pid': 984}
7{'status': 'running', 'username': None, 'name': 'svchost.exe', 'pid': 1176}
8{'status': 'running', 'username': None, 'name': 'fontdrvhost.exe', 'pid': 1204}
9{'status': 'running', 'username': None, 'name': 'WUDFHost.exe', 'pid': 1524}
10{'status': 'running', 'username': None, 'name': 'csrss.exe', 'pid': 1548}
11{'status': 'running', 'username': None, 'name': 'wininit.exe', 'pid': 1812}
12{'status': 'running', 'username': None, 'name': 'csrss.exe', 'pid': 1832}
13{'status': 'running', 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'msedgewebview2.exe', 'pid': 1836}
14{'status': 'running', 'username': None, 'name': 'conhost.exe', 'pid': 1844}
15{'status': 'running', 'username': None, 'name': 'winlogon.exe', 'pid': 1908}
16{'status': 'running', 'username': None, 'name': 'services.exe', 'pid': 1928}
17{'status': 'running', 'username': None, 'name': 'LsaIso.exe', 'pid': 1960}
18{'status': 'running', 'username': None, 'name': 'lsass.exe', 'pid': 1984}
19{'status': 'running', 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'msedgewebview2.exe', 'pid': 2052}
20{'status': 'running', 'username': None, 'name': 'svchost.exe', 'pid': 2104}
21{'status': 'running', 'username': None, 'name': 'svchost.exe', 'pid': 2144}
22{'status': 'running', 'username': None, 'name': 'svchost.exe', 'pid': 2148}
23{'status': 'running', 'username': None, 'name': 'WUDFCompanionHost.exe', 'pid': 2208}
24{'status': 'running', 'username': None, 'name': 'GoToAssistLoggerProcess.exe', 'pid': 2228}
25{'status': 'running', 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 2248}
26{'status': 'running', 'username': None, 'name': 'svchost.exe', 'pid': 2260}
27{'status': 'running', 'username': None, 'name': 'svchost.exe', 'pid': 2268}
28{'status': 'running', 'username': None, 'name': 'svchost.exe', 'pid': 2284}
29{'status': 'running', 'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'msedgewebview2.exe', 'pid': 2316}
30{'status': 'running', 'username': None, 'name': 'CSFalconContainer.exe', 'pid': 2328}
31{'status': 'running', 'username': None, 'name': 'conhost.exe', 'pid': 2340}
32{'status': 'running', 'username': None, 'name': 'kvoop.exe', 'pid': 2364}
33{'status': 'running', 'username': None, 'name': 'amdpmfservice.exe', 'pid': 2436}
34{'status': 'running', 'username': None, 'name': 'svchost.exe', 'pid': 2444}
35{'status': 'running', 'username': None, 'name': 'svchost.exe', 'pid': 2452}
