~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
~~~~~ Information of Currently running processess. ~~~~~
~~~~~~~~~~ Log Time: Sat Jun 28 03:11:55 2025~~~~~~~~~~~
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
0{'name': 'System Idle Process', 'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM'}
0{'name': 'System', 'pid': 4, 'username': 'NT AUTHORITY\\SYSTEM'}
0{'name': 'fontdrvhost.exe', 'pid': 8, 'username': None}
0{'name': '', 'pid': 172, 'username': None}
0{'name': 'Registry', 'pid': 208, 'username': None}
0{'name': 'chrome.exe', 'pid': 816, 'username': 'QAMR-ACCOUNTS\\u1203282'}
0{'name': 'smss.exe', 'pid': 984, 'username': None}
0{'name': 'svchost.exe', 'pid': 1176, 'username': None}
0{'name': 'fontdrvhost.exe', 'pid': 1204, 'username': None}
0{'name': 'WUDFHost.exe', 'pid': 1524, 'username': None}
0{'name': 'csrss.exe', 'pid': 1548, 'username': None}
0{'name': 'wininit.exe', 'pid': 1812, 'username': None}
0{'name': 'csrss.exe', 'pid': 1832, 'username': None}
0{'name': 'msedgewebview2.exe', 'pid': 1836, 'username': 'QAMR-ACCOUNTS\\u1203282'}
0{'name': 'conhost.exe', 'pid': 1844, 'username': None}
0{'name': 'winlogon.exe', 'pid': 1908, 'username': None}
0{'name': 'services.exe', 'pid': 1928, 'username': None}
0{'name': 'LsaIso.exe', 'pid': 1960, 'username': None}
0{'name': 'lsass.exe', 'pid': 1984, 'username': None}
0{'name': 'msedgewebview2.exe', 'pid': 2052, 'username': 'QAMR-ACCOUNTS\\u1203282'}
0{'name': 'svchost.exe', 'pid': 2104, 'username': None}
0{'name': 'svchost.exe', 'pid': 2144, 'username': None}
0{'name': 'svchost.exe', 'pid': 2148, 'username': None}
0{'name': 'WUDFCompanionHost.exe', 'pid': 2208, 'username': None}
0{'name': 'GoToAssistLoggerProcess.exe', 'pid': 2228, 'username': None}
0{'name': 'svchost.exe', 'pid': 2260, 'username': None}
0{'name': 'svchost.exe', 'pid': 2268, 'username': None}
0{'name': 'svchost.exe', 'pid': 2284, 'username': None}
0{'name': 'msedgewebview2.exe', 'pid': 2316, 'username': 'QAMR-ACCOUNTS\\u1203282'}
0{'name': 'CSFalconContainer.exe', 'pid': 2328, 'username': None}
0{'name': 'conhost.exe', 'pid': 2340, 'username': None}
0{'name': 'amdpmfservice.exe', 'pid': 2436, 'username': None}
0{'name': 'svchost.exe', 'pid': 2444, 'username': None}
0{'name': 'svchost.exe', 'pid': 2452, 'username': None}
0{'name': 'svchost.exe', 'pid': 2460, 'username': None}
0{'name': 'svchost.exe', 'pid': 2472, 'username': None}
0{'name': 'nxtupdater.exe', 'pid': 2508, 'username': None}
0{'name': 'svchost.exe', 'pid': 2596, 'username': None}
0{'name': 'svchost.exe', 'pid': 2604, 'username': None}
0{'name': 'AppVShNotify.exe', 'pid': 2652, 'username': 'QAMR-ACCOUNTS\\u1203282'}
0{'name': 'svchost.exe', 'pid': 2728, 'username': None}
0{'name': 'svchost.exe', 'pid': 2736, 'username': None}
0{'name': 'chrome.exe', 'pid': 2768, 'username': 'QAMR-ACCOUNTS\\u1203282'}
0{'name': 'svchost.exe', 'pid': 2792, 'username': None}
0{'name': 'svchost.exe', 'pid': 2840, 'username': None}
0{'name': 'chrome.exe', 'pid': 2896, 'username': 'QAMR-ACCOUNTS\\u1203282'}
0{'name': 'svchost.exe', 'pid': 2900, 'username': None}
0{'name': 'svchost.exe', 'pid': 2920, 'username': None}
0{'name': 'svchost.exe', 'pid': 3076, 'username': 'QAMR-ACCOUNTS\\u1203282'}
0{'name': 'svchost.exe', 'pid': 3096, 'username': None}
0{'name': 'svchost.exe', 'pid': 3128, 'username': None}
0{'name': 'svchost.exe', 'pid': 3200, 'username': None}
0{'name': 'svchost.exe', 'pid': 3280, 'username': None}
0{'name': 'pc-client.exe', 'pid': 3296, 'username': 'QAMR-ACCOUNTS\\u1203282'}
0{'name': 'svchost.exe', 'pid': 3312, 'username': None}
0{'name': 'dwm.exe', 'pid': 3332, 'username': None}
0{'name': 'AuthManSvr.exe', 'pid': 3356, 'username': 'QAMR-ACCOUNTS\\u1203282'}
0{'name': 'msedgewebview2.exe', 'pid': 3404, 'username': 'QAMR-ACCOUNTS\\u1203282'}
0{'name': 'msedgewebview2.exe', 'pid': 3420, 'username': 'QAMR-ACCOUNTS\\u1203282'}
0{'name': 'chrome.exe', 'pid': 3480, 'username': 'QAMR-ACCOUNTS\\u1203282'}
0{'name': 'CsSystemTray_7.25.19706.0.exe', 'pid': 3572, 'username': 'QAMR-ACCOUNTS\\u1203282'}
0{'name': 'chrome.exe', 'pid': 3620, 'username': 'QAMR-ACCOUNTS\\u1203282'}
0{'name': 'svchost.exe', 'pid': 3660, 'username': None}
