~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
~~~~~ Information of Currently running processess. ~~~~~
~~~~~~~~~~ Log Time: Sat Jun 28 03:13:17 2025~~~~~~~~~~~
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
1{'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System Idle Process', 'pid': 0}
2{'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System', 'pid': 4}
3{'username': None, 'name': 'fontdrvhost.exe', 'pid': 8}
4{'username': None, 'name': '', 'pid': 172}
5{'username': None, 'name': 'Registry', 'pid': 208}
6{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 816}
7{'username': None, 'name': 'smss.exe', 'pid': 984}
8{'username': None, 'name': 'svchost.exe', 'pid': 1176}
9{'username': None, 'name': 'fontdrvhost.exe', 'pid': 1204}
10{'username': None, 'name': 'WUDFHost.exe', 'pid': 1524}
11{'username': None, 'name': 'csrss.exe', 'pid': 1548}
12{'username': None, 'name': 'wininit.exe', 'pid': 1812}
13{'username': None, 'name': 'csrss.exe', 'pid': 1832}
14{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'msedgewebview2.exe', 'pid': 1836}
15{'username': None, 'name': 'conhost.exe', 'pid': 1844}
16{'username': None, 'name': 'winlogon.exe', 'pid': 1908}
17{'username': None, 'name': 'services.exe', 'pid': 1928}
18{'username': None, 'name': 'LsaIso.exe', 'pid': 1960}
19{'username': None, 'name': 'lsass.exe', 'pid': 1984}
20{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'msedgewebview2.exe', 'pid': 2052}
21{'username': None, 'name': 'svchost.exe', 'pid': 2104}
22{'username': None, 'name': 'svchost.exe', 'pid': 2144}
23{'username': None, 'name': 'svchost.exe', 'pid': 2148}
24{'username': None, 'name': 'WUDFCompanionHost.exe', 'pid': 2208}
25{'username': None, 'name': 'GoToAssistLoggerProcess.exe', 'pid': 2228}
26{'username': None, 'name': 'svchost.exe', 'pid': 2260}
27{'username': None, 'name': 'svchost.exe', 'pid': 2268}
28{'username': None, 'name': 'svchost.exe', 'pid': 2284}
29{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'msedgewebview2.exe', 'pid': 2316}
30{'username': None, 'name': 'CSFalconContainer.exe', 'pid': 2328}
31{'username': None, 'name': 'conhost.exe', 'pid': 2340}
32{'username': None, 'name': 'amdpmfservice.exe', 'pid': 2436}
33{'username': None, 'name': 'svchost.exe', 'pid': 2444}
34{'username': None, 'name': 'svchost.exe', 'pid': 2452}
35{'username': None, 'name': 'svchost.exe', 'pid': 2460}
36{'username': None, 'name': 'svchost.exe', 'pid': 2472}
37{'username': None, 'name': 'nxtupdater.exe', 'pid': 2508}
38{'username': None, 'name': 'svchost.exe', 'pid': 2596}
39{'username': None, 'name': 'svchost.exe', 'pid': 2604}
40{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'AppVShNotify.exe', 'pid': 2652}
41{'username': None, 'name': 'svchost.exe', 'pid': 2728}
42{'username': None, 'name': 'svchost.exe', 'pid': 2736}
43{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 2768}
44{'username': None, 'name': 'svchost.exe', 'pid': 2792}
45{'username': None, 'name': 'svchost.exe', 'pid': 2840}
46{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 2896}
47{'username': None, 'name': 'svchost.exe', 'pid': 2900}
48{'username': None, 'name': 'svchost.exe', 'pid': 2920}
49{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'svchost.exe', 'pid': 3076}
50{'username': None, 'name': 'svchost.exe', 'pid': 3096}
51{'username': None, 'name': 'svchost.exe', 'pid': 3128}
52{'username': None, 'name': 'svchost.exe', 'pid': 3200}
53{'username': None, 'name': 'svchost.exe', 'pid': 3280}
54{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'pc-client.exe', 'pid': 3296}
55{'username': None, 'name': 'svchost.exe', 'pid': 3312}
56{'username': None, 'name': 'dwm.exe', 'pid': 3332}
57{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'AuthManSvr.exe', 'pid': 3356}
58{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'msedgewebview2.exe', 'pid': 3404}
59{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'msedgewebview2.exe', 'pid': 3420}
60{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 3480}
61{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'CsSystemTray_7.25.19706.0.exe', 'pid': 3572}
62{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 3620}
63{'username': None, 'name': 'svchost.exe', 'pid': 3660}
64{'username': None, 'name': 'svchost.exe', 'pid': 3672}
65{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 3696}
66{'username': None, 'name': 'svchost.exe', 'pid': 3708}
67{'username': None, 'name': 'svchost.exe', 'pid': 3712}
68{'username': None, 'name': 'nxtcssu.exe', 'pid': 3728}
69{'username': None, 'name': 'nxtcoordinator.exe', 'pid': 3736}
70{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'smartscreen.exe', 'pid': 3744}
71{'username': None, 'name': 'nxtsvc.exe', 'pid': 3748}
72{'username': None, 'name': 'svchost.exe', 'pid': 3864}
73{'username': None, 'name': 'svchost.exe', 'pid': 3872}
74{'username': None, 'name': 'ArelliaACSvc.exe', 'pid': 3948}
75{'username': None, 'name': 'WUDFHost.exe', 'pid': 3956}
76{'username': None, 'name': 'svchost.exe', 'pid': 3964}
77{'username': None, 'name': 'svchost.exe', 'pid': 4160}
78{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 4200}
79{'username': None, 'name': 'atiesrxx.exe', 'pid': 4224}
80{'username': None, 'name': 'amdfendrsr.exe', 'pid': 4256}
81{'username': None, 'name': 'svchost.exe', 'pid': 4292}
82{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'msedgewebview2.exe', 'pid': 4316}
83{'username': None, 'name': 'svchost.exe', 'pid': 4328}
84{'username': None, 'name': 'svchost.exe', 'pid': 4348}
85{'username': None, 'name': 'svchost.exe', 'pid': 4492}
86{'username': None, 'name': 'WUDFHost.exe', 'pid': 4552}
87{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 4564}
88{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'svchost.exe', 'pid': 4636}
89{'username': None, 'name': 'svchost.exe', 'pid': 4712}
90{'username': None, 'name': 'WmiPrvSE.exe', 'pid': 4844}
91{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 4892}
92{'username': None, 'name': 'WUDFCompanionHost.exe', 'pid': 4916}
93{'username': None, 'name': 'svchost.exe', 'pid': 5032}
94{'username': None, 'name': 'WUDFHost.exe', 'pid': 5052}
95{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 5192}
96{'username': None, 'name': 'svchost.exe', 'pid': 5272}
97{'username': None, 'name': 'svchost.exe', 'pid': 5368}
98{'username': None, 'name': 'svchost.exe', 'pid': 5392}
99{'username': None, 'name': 'MemCompression', 'pid': 5544}
100{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'RuntimeBroker.exe', 'pid': 5684}
101{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'SystemSettingsBroker.exe', 'pid': 5760}
102{'username': None, 'name': 'nxteufb.exe', 'pid': 5768}
103{'username': None, 'name': 'svchost.exe', 'pid': 5784}
104{'username': None, 'name': 'svchost.exe', 'pid': 5792}
105{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 5848}
106{'username': None, 'name': 'NgcIso.exe', 'pid': 5868}
107{'username': None, 'name': 'svchost.exe', 'pid': 6084}
108{'username': None, 'name': 'EPDService.exe', 'pid': 6092}
109{'username': None, 'name': 'svchost.exe', 'pid': 6100}
110{'username': None, 'name': 'svchost.exe', 'pid': 6108}
111{'username': None, 'name': 'atieclxx.exe', 'pid': 6116}
112{'username': None, 'name': 'svchost.exe', 'pid': 6240}
113{'username': None, 'name': 'svchost.exe', 'pid': 6352}
114{'username': None, 'name': 'svchost.exe', 'pid': 6380}
115{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'msedgewebview2.exe', 'pid': 6428}
116{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'dllhost.exe', 'pid': 6432}
117{'username': None, 'name': 'svchost.exe', 'pid': 6484}
118{'username': None, 'name': 'svchost.exe', 'pid': 6560}
119{'username': None, 'name': 'svchost.exe', 'pid': 6588}
120{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'msedgewebview2.exe', 'pid': 6708}
121{'username': None, 'name': 'svchost.exe', 'pid': 6772}
122{'username': None, 'name': 'svchost.exe', 'pid': 6904}
123{'username': None, 'name': 'svchost.exe', 'pid': 6932}
124{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'SecurityHealthSystray.exe', 'pid': 6936}
125{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'msedgewebview2.exe', 'pid': 6940}
126{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'Code.exe', 'pid': 6948}
127{'username': None, 'name': 'svchost.exe', 'pid': 7100}
128{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'AcroRd32.exe', 'pid': 7120}
129{'username': None, 'name': 'svchost.exe', 'pid': 7160}
130{'username': None, 'name': 'svchost.exe', 'pid': 7180}
131{'username': None, 'name': 'svchost.exe', 'pid': 7192}
132{'username': None, 'name': 'svchost.exe', 'pid': 7240}
133{'username': None, 'name': 'svchost.exe', 'pid': 7308}
134{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'ms-teams.exe', 'pid': 7344}
135{'username': 'QAMR-ACCOUNTS\\u1203282', 'name': 'chrome.exe', 'pid': 7376}
