~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
~~~~~ Information of Currently running processess. ~~~~~
~~~~~~~~~~ Log Time: Sat Jun 28 03:13:23 2025~~~~~~~~~~~
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
1{'pid': 0, 'name': 'System Idle Process', 'username': 'NT AUTHORITY\\SYSTEM'}
2{'pid': 4, 'name': 'System', 'username': 'NT AUTHORITY\\SYSTEM'}
3{'pid': 8, 'name': 'fontdrvhost.exe', 'username': None}
4{'pid': 172, 'name': '', 'username': None}
5{'pid': 208, 'name': 'Registry', 'username': None}
6{'pid': 816, 'name': 'chrome.exe', 'username': 'QAMR-ACCOUNTS\\u1203282'}
7{'pid': 984, 'name': 'smss.exe', 'username': None}
8{'pid': 1176, 'name': 'svchost.exe', 'username': None}
9{'pid': 1204, 'name': 'fontdrvhost.exe', 'username': None}
10{'pid': 1524, 'name': 'WUDFHost.exe', 'username': None}
11{'pid': 1548, 'name': 'csrss.exe', 'username': None}
12{'pid': 1812, 'name': 'wininit.exe', 'username': None}
13{'pid': 1832, 'name': 'csrss.exe', 'username': None}
14{'pid': 1836, 'name': 'msedgewebview2.exe', 'username': 'QAMR-ACCOUNTS\\u1203282'}
15{'pid': 1844, 'name': 'conhost.exe', 'username': None}
16{'pid': 1908, 'name': 'winlogon.exe', 'username': None}
17{'pid': 1928, 'name': 'services.exe', 'username': None}
18{'pid': 1960, 'name': 'LsaIso.exe', 'username': None}
19{'pid': 1984, 'name': 'lsass.exe', 'username': None}
20{'pid': 2052, 'name': 'msedgewebview2.exe', 'username': 'QAMR-ACCOUNTS\\u1203282'}
21{'pid': 2104, 'name': 'svchost.exe', 'username': None}
22{'pid': 2144, 'name': 'svchost.exe', 'username': None}
23{'pid': 2148, 'name': 'svchost.exe', 'username': None}
24{'pid': 2208, 'name': 'WUDFCompanionHost.exe', 'username': None}
25{'pid': 2228, 'name': 'GoToAssistLoggerProcess.exe', 'username': None}
26{'pid': 2260, 'name': 'svchost.exe', 'username': None}
27{'pid': 2268, 'name': 'svchost.exe', 'username': None}
28{'pid': 2284, 'name': 'svchost.exe', 'username': None}
