~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
~~~~~~~~~~~~~~~~~ Marvallous Infosystem ~~~~~~~~~~~~~~~~
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ 


~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
~~~~~ Information of Currently running processess. ~~~~~
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
1 )  {'name': 'System Idle Process', 'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM'}
2 )  {'name': 'System', 'pid': 4, 'username': 'NT AUTHORITY\\SYSTEM'}
3 )  {'name': 'fontdrvhost.exe', 'pid': 8, 'username': None}
4 )  {'name': '', 'pid': 172, 'username': None}
5 )  {'name': 'Registry', 'pid': 208, 'username': None}
6 )  {'name': 'chrome.exe', 'pid': 816, 'username': 'QAMR-ACCOUNTS\\u1203282'}
7 )  {'name': 'smss.exe', 'pid': 984, 'username': None}
8 )  {'name': 'msedge.exe', 'pid': 1064, 'username': 'QAMR-ACCOUNTS\\u1203282'}
9 )  {'name': 'svchost.exe', 'pid': 1176, 'username': None}
10 )  {'name': 'fontdrvhost.exe', 'pid': 1204, 'username': None}
11 )  {'name': 'WUDFHost.exe', 'pid': 1524, 'username': None}
12 )  {'name': 'csrss.exe', 'pid': 1548, 'username': None}
13 )  {'name': 'wininit.exe', 'pid': 1812, 'username': None}
14 )  {'name': 'csrss.exe', 'pid': 1832, 'username': None}
15 )  {'name': 'msedgewebview2.exe', 'pid': 1836, 'username': 'QAMR-ACCOUNTS\\u1203282'}
16 )  {'name': 'conhost.exe', 'pid': 1844, 'username': None}
17 )  {'name': 'winlogon.exe', 'pid': 1908, 'username': None}
18 )  {'name': 'services.exe', 'pid': 1928, 'username': None}
19 )  {'name': 'LsaIso.exe', 'pid': 1960, 'username': None}
20 )  {'name': 'lsass.exe', 'pid': 1984, 'username': None}
21 )  {'name': 'msedgewebview2.exe', 'pid': 2052, 'username': 'QAMR-ACCOUNTS\\u1203282'}
22 )  {'name': 'svchost.exe', 'pid': 2104, 'username': None}
23 )  {'name': 'svchost.exe', 'pid': 2144, 'username': None}
24 )  {'name': 'svchost.exe', 'pid': 2148, 'username': None}
25 )  {'name': 'WUDFCompanionHost.exe', 'pid': 2208, 'username': None}
26 )  {'name': 'GoToAssistLoggerProcess.exe', 'pid': 2228, 'username': None}
27 )  {'name': 'svchost.exe', 'pid': 2260, 'username': None}
28 )  {'name': 'svchost.exe', 'pid': 2268, 'username': None}
29 )  {'name': 'svchost.exe', 'pid': 2284, 'username': None}
30 )  {'name': 'msedgewebview2.exe', 'pid': 2316, 'username': 'QAMR-ACCOUNTS\\u1203282'}
31 )  {'name': 'CSFalconContainer.exe', 'pid': 2328, 'username': None}
32 )  {'name': 'conhost.exe', 'pid': 2340, 'username': None}
33 )  {'name': 'amdpmfservice.exe', 'pid': 2436, 'username': None}
34 )  {'name': 'svchost.exe', 'pid': 2444, 'username': None}
35 )  {'name': 'svchost.exe', 'pid': 2452, 'username': None}
36 )  {'name': 'svchost.exe', 'pid': 2460, 'username': None}
37 )  {'name': 'svchost.exe', 'pid': 2472, 'username': None}
38 )  {'name': 'nxtupdater.exe', 'pid': 2508, 'username': None}
39 )  {'name': 'svchost.exe', 'pid': 2596, 'username': None}
40 )  {'name': 'svchost.exe', 'pid': 2604, 'username': None}
41 )  {'name': 'AppVShNotify.exe', 'pid': 2652, 'username': 'QAMR-ACCOUNTS\\u1203282'}
42 )  {'name': 'svchost.exe', 'pid': 2728, 'username': None}
43 )  {'name': 'svchost.exe', 'pid': 2736, 'username': None}
44 )  {'name': 'chrome.exe', 'pid': 2768, 'username': 'QAMR-ACCOUNTS\\u1203282'}
45 )  {'name': 'svchost.exe', 'pid': 2792, 'username': None}
46 )  {'name': 'svchost.exe', 'pid': 2840, 'username': None}
47 )  {'name': 'chrome.exe', 'pid': 2896, 'username': 'QAMR-ACCOUNTS\\u1203282'}
48 )  {'name': 'svchost.exe', 'pid': 2900, 'username': None}
49 )  {'name': 'svchost.exe', 'pid': 2920, 'username': None}
50 )  {'name': 'svchost.exe', 'pid': 3076, 'username': 'QAMR-ACCOUNTS\\u1203282'}
51 )  {'name': 'svchost.exe', 'pid': 3096, 'username': None}
52 )  {'name': 'svchost.exe', 'pid': 3128, 'username': None}
53 )  {'name': 'msedge.exe', 'pid': 3168, 'username': 'QAMR-ACCOUNTS\\u1203282'}
54 )  {'name': 'svchost.exe', 'pid': 3200, 'username': None}
55 )  {'name': 'svchost.exe', 'pid': 3280, 'username': None}
56 )  {'name': 'pc-client.exe', 'pid': 3296, 'username': 'QAMR-ACCOUNTS\\u1203282'}
57 )  {'name': 'svchost.exe', 'pid': 3312, 'username': None}
58 )  {'name': 'dwm.exe', 'pid': 3332, 'username': None}
59 )  {'name': 'AuthManSvr.exe', 'pid': 3356, 'username': 'QAMR-ACCOUNTS\\u1203282'}
60 )  {'name': 'msedgewebview2.exe', 'pid': 3404, 'username': 'QAMR-ACCOUNTS\\u1203282'}
61 )  {'name': 'msedgewebview2.exe', 'pid': 3420, 'username': 'QAMR-ACCOUNTS\\u1203282'}
62 )  {'name': 'chrome.exe', 'pid': 3480, 'username': 'QAMR-ACCOUNTS\\u1203282'}
63 )  {'name': 'CsSystemTray_7.25.19706.0.exe', 'pid': 3572, 'username': 'QAMR-ACCOUNTS\\u1203282'}
64 )  {'name': 'msedge.exe', 'pid': 3600, 'username': 'QAMR-ACCOUNTS\\u1203282'}
65 )  {'name': 'chrome.exe', 'pid': 3620, 'username': 'QAMR-ACCOUNTS\\u1203282'}
66 )  {'name': 'svchost.exe', 'pid': 3660, 'username': None}
67 )  {'name': 'svchost.exe', 'pid': 3672, 'username': None}
68 )  {'name': 'chrome.exe', 'pid': 3696, 'username': 'QAMR-ACCOUNTS\\u1203282'}
69 )  {'name': 'svchost.exe', 'pid': 3708, 'username': None}
70 )  {'name': 'svchost.exe', 'pid': 3712, 'username': None}
71 )  {'name': 'nxtcssu.exe', 'pid': 3728, 'username': None}
72 )  {'name': 'nxtcoordinator.exe', 'pid': 3736, 'username': None}
73 )  {'name': 'nxtsvc.exe', 'pid': 3748, 'username': None}
74 )  {'name': 'svchost.exe', 'pid': 3864, 'username': None}
75 )  {'name': 'svchost.exe', 'pid': 3872, 'username': None}
76 )  {'name': 'ArelliaACSvc.exe', 'pid': 3948, 'username': None}
77 )  {'name': 'WUDFHost.exe', 'pid': 3956, 'username': None}
78 )  {'name': 'svchost.exe', 'pid': 3964, 'username': None}
79 )  {'name': 'svchost.exe', 'pid': 4160, 'username': None}
80 )  {'name': 'chrome.exe', 'pid': 4200, 'username': 'QAMR-ACCOUNTS\\u1203282'}
81 )  {'name': 'atiesrxx.exe', 'pid': 4224, 'username': None}
82 )  {'name': 'amdfendrsr.exe', 'pid': 4256, 'username': None}
83 )  {'name': 'svchost.exe', 'pid': 4292, 'username': None}
84 )  {'name': 'msedgewebview2.exe', 'pid': 4316, 'username': 'QAMR-ACCOUNTS\\u1203282'}
85 )  {'name': 'svchost.exe', 'pid': 4328, 'username': None}
86 )  {'name': 'svchost.exe', 'pid': 4348, 'username': None}
87 )  {'name': 'svchost.exe', 'pid': 4492, 'username': None}
88 )  {'name': 'WUDFHost.exe', 'pid': 4552, 'username': None}
89 )  {'name': 'chrome.exe', 'pid': 4564, 'username': 'QAMR-ACCOUNTS\\u1203282'}
90 )  {'name': 'svchost.exe', 'pid': 4636, 'username': 'QAMR-ACCOUNTS\\u1203282'}
91 )  {'name': 'svchost.exe', 'pid': 4712, 'username': None}
92 )  {'name': 'WmiPrvSE.exe', 'pid': 4844, 'username': None}
93 )  {'name': 'chrome.exe', 'pid': 4892, 'username': 'QAMR-ACCOUNTS\\u1203282'}
94 )  {'name': 'WUDFCompanionHost.exe', 'pid': 4916, 'username': None}
95 )  {'name': 'svchost.exe', 'pid': 5032, 'username': None}
96 )  {'name': 'WUDFHost.exe', 'pid': 5052, 'username': None}
97 )  {'name': 'msedge.exe', 'pid': 5148, 'username': 'QAMR-ACCOUNTS\\u1203282'}
98 )  {'name': 'chrome.exe', 'pid': 5192, 'username': 'QAMR-ACCOUNTS\\u1203282'}
99 )  {'name': 'svchost.exe', 'pid': 5272, 'username': None}
100 )  {'name': 'svchost.exe', 'pid': 5368, 'username': None}
101 )  {'name': 'svchost.exe', 'pid': 5392, 'username': None}
102 )  {'name': 'MemCompression', 'pid': 5544, 'username': None}
103 )  {'name': 'RuntimeBroker.exe', 'pid': 5684, 'username': 'QAMR-ACCOUNTS\\u1203282'}
104 )  {'name': 'SystemSettingsBroker.exe', 'pid': 5760, 'username': 'QAMR-ACCOUNTS\\u1203282'}
105 )  {'name': 'nxteufb.exe', 'pid': 5768, 'username': None}
106 )  {'name': 'svchost.exe', 'pid': 5784, 'username': None}
107 )  {'name': 'svchost.exe', 'pid': 5792, 'username': None}
108 )  {'name': 'chrome.exe', 'pid': 5848, 'username': 'QAMR-ACCOUNTS\\u1203282'}
109 )  {'name': 'NgcIso.exe', 'pid': 5868, 'username': None}
110 )  {'name': 'svchost.exe', 'pid': 6084, 'username': None}
111 )  {'name': 'EPDService.exe', 'pid': 6092, 'username': None}
112 )  {'name': 'svchost.exe', 'pid': 6100, 'username': None}
113 )  {'name': 'svchost.exe', 'pid': 6108, 'username': None}
114 )  {'name': 'atieclxx.exe', 'pid': 6116, 'username': None}
115 )  {'name': 'svchost.exe', 'pid': 6240, 'username': None}
116 )  {'name': 'svchost.exe', 'pid': 6352, 'username': None}
117 )  {'name': 'svchost.exe', 'pid': 6380, 'username': None}
118 )  {'name': 'msedgewebview2.exe', 'pid': 6428, 'username': 'QAMR-ACCOUNTS\\u1203282'}
119 )  {'name': 'dllhost.exe', 'pid': 6432, 'username': 'QAMR-ACCOUNTS\\u1203282'}
120 )  {'name': 'svchost.exe', 'pid': 6484, 'username': None}
121 )  {'name': 'svchost.exe', 'pid': 6560, 'username': None}
122 )  {'name': 'svchost.exe', 'pid': 6588, 'username': None}
123 )  {'name': 'msedgewebview2.exe', 'pid': 6708, 'username': 'QAMR-ACCOUNTS\\u1203282'}
124 )  {'name': 'svchost.exe', 'pid': 6772, 'username': None}
125 )  {'name': 'svchost.exe', 'pid': 6904, 'username': None}
126 )  {'name': 'svchost.exe', 'pid': 6932, 'username': None}
127 )  {'name': 'SecurityHealthSystray.exe', 'pid': 6936, 'username': 'QAMR-ACCOUNTS\\u1203282'}
